programa,lista_declaracoes_externas,declaracao_externa,declaracao_tipo,declaracao_funcao,declaracao_variavel,idd,lista_identificadores,n_funcao,tipo,idu,new_block,lista_parametros,num,declaracao_campos,marcador_funcao,bloco,lista_declaracao_variaveis,lista_comandos,comando,valor_esquerdo,mw,expressao,expressao_l,expressao_r,expressao_y,expressao_f,true,false,chr,str,id,marcador_c,mt,lista_expressoes,me,TYPE,FUNCTION,VAR,$end,ID,EQUALS,LEFT_PARENTHESIS,COLON,COMMA,ARRAY,STRUCT,INTEGER,CHAR,BOOLEAN,STRING,LEFT_SQUARE,LEFT_BRACES,SEMI_COLON,RIGHT_PARENTHESIS,RIGHT_BRACES,DOT,PLUS_PLUS,MINUS_MINUS,TIMES,DIVIDE,PLUS,MINUS,LESS_THAN,LESS_OR_EQUAL,GREATER_THAN,GREATER_OR_EQUAL,EQUAL_EQUAL,NOT_EQUAL,AND,OR,RIGHT_SQUARE,NUMERAL,IF,WHILE,DO,BREAK,CONTINUE,RETURN,OF,NOT,TRUE,FALSE,CHARACTER,STRINGVAL,ELSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,,,,,,,86,,-60,-60,,85,131,132,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,,,,,,,,,,,,,,
,,,,,,,,,,77,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,77,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,,,105,,,,,,,95,,135,90,91,92,94,101,102,103,104,,,,,,,,,,28,,98,,,,,,,,,,,,,,,96,97,,,,93,,,,,,,,,,38,,,,,,,,100,106,107,108,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,-21,,-78,,,,,,,-78,,-78,-78,,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,,,,,,,,,,,,,,
,,,,,,,,,,99,,,105,,,,,,,95,,,,,,137,101,102,103,104,,,,,,,,,,28,,98,,,,,,,,,,,,,,,96,97,,,,93,,,,,,,,,,38,,,,,,,,100,106,107,108,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,,,,,,,,,-69,-69,,,,,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,,,,,,,,,-70,-70,,,,,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,,,,,,,,,-71,-71,,,,,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,,,,,,,,-72,-72,,,,,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,,,,,,,,,-73,-73,,,,,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,-82,-82,,,,,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,-83,-83,,,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,,,,,,,,-84,-84,,,,,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,-84,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,,-85,-85,,,,,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,118,119,,,,,,,,,,,,,,,
,,,,,,,,,,99,,,105,,,,,,,95,,139,90,91,92,94,101,102,103,104,,,,,,,,,,28,,98,,,,,,,,,,,,,,,96,97,,,,93,,,,,,,,,,38,,,,,,,,100,106,107,108,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,118,119,,,,,,,,,,,,,,,
